1	146.925
2	147.223
3	146.805
4	148.032
5	149.01
6	149.8
7	150.761
8	151.067
9	152.588
10	153.521
11	153.583
12	155.614
13	157.555
14	156.266
15	154.752
16	158.979
17	160.605
18	160.127
19	162.816
20	162.506
21	163.258
22	164.685
23	166.594
24	168.161
25	167.518
26	169.649
27	172.766
28	173.106
29	172.329
30	174.241
31	174.781
32	177.295
33	178.787
34	180.561
35	180.703
36	181.524
37	182.413
38	179.488
39	181.013
40	181.686
41	183.536
42	186.081
43	185.431
44	186.806
45	187.366
46	186.565
47	189.055
48	190.774
49	189.135
50	192.266
51	194.029
52	194.744
53	196.205
54	196.136
55	196.187
56	196.218
57	198.859
58	200.509
59	200.174
60	201.284
61	202.371
62	204.286
63	204.99
64	203.399
65	201.699
66	204.675
67	207.014
68	207.635
69	208.326
70	208.078
71	208.936
72	209.363
73	209.666
74	209.552
75	210.832
76	213.633
77	214.639
78	216.337
79	214.841
80	213.636
81	215.72
82	219.483
83	221.134
84	223.179
85	223.997
86	226.25
87	227.417
88	229.037
89	231.235
90	231.903
91	233.948
92	236.566
93	237.481
94	237.553
95	240.544
96	245.485
